fixture_id,fixture_date,team_name,team_id,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,fixture.referee,fixture.timezone,fixture.date,fixture.timestamp,fixture.periods.first,fixture.periods.second,fixture.venue.id,fixture.venue.name,fixture.venue.city,fixture.status.long,fixture.status.short,fixture.status.elapsed,league.id,league.name,league.country,league.logo,league.flag,league.season,league.round,teams.home.id,teams.home.name,teams.home.logo,teams.home.winner,teams.away.id,teams.away.name,teams.away.logo,teams.away.winner,goals.home,goals.away,score.halftime.home,score.halftime.away,score.fulltime.home,score.fulltime.away,score.extratime.home,score.extratime.away,score.penalty.home,score.penalty.away
194572,2015-08-15T13:30:00+00:00,SV Darmstadt 98,181,4.0,4,11,3.0,9,2,0,5,0.0,39%,1.0,0,5.0,240,125,52%,"Felix Brych, Germany",UTC,2015-08-15T13:30:00+00:00,1439645400,1439645400.0,1439649000.0,,Stadion am Böllenfalltor,Darmstadt,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2015,Regular Season - 1,181,SV Darmstadt 98,https://media.api-sports.io/football/teams/181.png,,166,Hannover 96,https://media.api-sports.io/football/teams/166.png,,2.0,2.0,1.0,0.0,2.0,2.0,,,,
194572,2015-08-15T13:30:00+00:00,Hannover 96,166,5.0,6,13,2.0,8,6,0,9,1.0,61%,2.0,0,2.0,361,245,68%,"Felix Brych, Germany",UTC,2015-08-15T13:30:00+00:00,1439645400,1439645400.0,1439649000.0,,Stadion am Böllenfalltor,Darmstadt,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2015,Regular Season - 1,181,SV Darmstadt 98,https://media.api-sports.io/football/teams/181.png,,166,Hannover 96,https://media.api-sports.io/football/teams/166.png,,2.0,2.0,1.0,0.0,2.0,2.0,,,,
194573,2015-08-15T16:30:00+00:00,Borussia Dortmund,165,7.0,8,18,3.0,11,7,0,3,6.0,59%,0.0,0,1.0,703,626,89%,"Tobias Stieler, Germany",UTC,2015-08-15T16:30:00+00:00,1439656200,1439656200.0,1439659800.0,702.0,Signal Iduna Park,Dortmund,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2015,Regular Season - 1,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,True,163,Borussia Monchengladbach,https://media.api-sports.io/football/teams/163.png,False,4.0,0.0,3.0,0.0,4.0,0.0,,,,
194573,2015-08-15T16:30:00+00:00,Borussia Monchengladbach,163,1.0,3,5,1.0,3,2,0,5,0.0,41%,1.0,0,2.0,478,392,82%,"Tobias Stieler, Germany",UTC,2015-08-15T16:30:00+00:00,1439656200,1439656200.0,1439659800.0,702.0,Signal Iduna Park,Dortmund,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2015,Regular Season - 1,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,True,163,Borussia Monchengladbach,https://media.api-sports.io/football/teams/163.png,False,4.0,0.0,3.0,0.0,4.0,0.0,,,,
194574,2015-08-16T13:30:00+00:00,VfL Wolfsburg,161,3.0,2,5,0.0,3,2,0,7,3.0,61%,1.0,0,5.0,590,498,84%,"Christian Dingert, Germany",UTC,2015-08-16T13:30:00+00:00,1439731800,1439731800.0,1439735400.0,752.0,Volkswagen Arena,Wolfsburg,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2015,Regular Season - 1,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,True,169,Eintracht Frankfurt,https://media.api-sports.io/football/teams/169.png,False,2.0,1.0,2.0,1.0,2.0,1.0,,,,
194574,2015-08-16T13:30:00+00:00,Eintracht Frankfurt,169,6.0,3,13,4.0,9,4,0,3,7.0,39%,1.0,0,1.0,367,286,78%,"Christian Dingert, Germany",UTC,2015-08-16T13:30:00+00:00,1439731800,1439731800.0,1439735400.0,752.0,Volkswagen Arena,Wolfsburg,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2015,Regular Season - 1,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,True,169,Eintracht Frankfurt,https://media.api-sports.io/football/teams/169.png,False,2.0,1.0,2.0,1.0,2.0,1.0,,,,
194575,2015-08-16T15:30:00+00:00,VfB Stuttgart,172,8.0,9,28,11.0,17,11,0,13,4.0,56%,3.0,0,2.0,395,301,76%,"Wolfgang Stark, Germany",UTC,2015-08-16T15:30:00+00:00,1439739000,1439739000.0,1439742600.0,750.0,Mercedes-Benz Arena,Stuttgart,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2015,Regular Season - 1,172,VfB Stuttgart,https://media.api-sports.io/football/teams/172.png,False,192,1.FC Köln,https://media.api-sports.io/football/teams/192.png,True,1.0,3.0,0.0,0.0,1.0,3.0,,,,
194575,2015-08-16T15:30:00+00:00,1.FC Köln,192,5.0,4,9,0.0,5,4,0,3,5.0,44%,2.0,0,6.0,320,214,67%,"Wolfgang Stark, Germany",UTC,2015-08-16T15:30:00+00:00,1439739000,1439739000.0,1439742600.0,750.0,Mercedes-Benz Arena,Stuttgart,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2015,Regular Season - 1,172,VfB Stuttgart,https://media.api-sports.io/football/teams/172.png,False,192,1.FC Köln,https://media.api-sports.io/football/teams/192.png,True,1.0,3.0,0.0,0.0,1.0,3.0,,,,
194576,2015-08-21T18:30:00+00:00,Hertha Berlin,159,2.0,4,10,4.0,7,3,0,6,1.0,51%,0.0,0,2.0,430,334,78%,"Sascha Stegemann, Germany",UTC,2015-08-21T18:30:00+00:00,1440181800,1440181800.0,1440185400.0,,Olympiastadion,Berlin,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2015,Regular Season - 2,159,Hertha Berlin,https://media.api-sports.io/football/teams/159.png,,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,,1.0,1.0,1.0,1.0,1.0,1.0,,,,
194576,2015-08-21T18:30:00+00:00,Werder Bremen,162,3.0,6,9,0.0,5,4,0,2,4.0,49%,1.0,0,1.0,417,306,73%,"Sascha Stegemann, Germany",UTC,2015-08-21T18:30:00+00:00,1440181800,1440181800.0,1440185400.0,,Olympiastadion,Berlin,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2015,Regular Season - 2,159,Hertha Berlin,https://media.api-sports.io/football/teams/159.png,,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,,1.0,1.0,1.0,1.0,1.0,1.0,,,,
